model,seed,param,episode,return,length,success
dr,0,2.0,20,344.0,500,0.0
dr,0,2.0,21,612.0,500,0.0
dr,0,2.0,22,930.0,500,0.0
dr,0,2.0,23,585.0,500,0.0
dr,0,2.0,24,500.0,500,0.0
dr,0,2.0,25,873.0,500,0.0
dr,0,2.0,26,466.0,500,0.0
dr,0,2.0,27,371.0,500,0.0
dr,0,2.0,28,923.0,500,0.0
dr,0,2.0,29,937.0,500,0.0
dr,0,2.5,0,336.0,500,0.0
dr,0,2.5,1,681.0,500,0.0
dr,0,2.5,2,857.0,500,0.0
dr,0,2.5,3,345.0,500,0.0
dr,0,2.5,4,394.0,500,0.0
dr,0,2.5,5,309.0,500,0.0
dr,0,2.5,6,934.0,500,0.0
dr,0,2.5,7,135.0,500,0.0
dr,0,2.5,8,144.0,500,0.0
dr,0,2.5,9,352.0,500,0.0
dr,0,2.5,10,245.0,500,0.0
dr,0,2.5,11,349.0,500,0.0
dr,0,2.5,12,349.0,500,0.0
dr,0,2.5,13,293.0,500,0.0
dr,0,2.5,14,129.0,500,0.0
dr,0,2.5,15,126.0,500,0.0
dr,0,2.5,16,112.0,500,0.0
dr,0,2.5,17,204.0,500,0.0
dr,0,2.5,18,209.0,500,0.0
dr,0,2.5,19,172.0,500,0.0
dr,0,2.5,20,81.0,500,0.0
dr,0,2.5,21,215.0,500,0.0
dr,0,2.5,22,930.0,500,0.0
dr,0,2.5,23,228.0,500,0.0
dr,0,2.5,24,136.0,500,0.0
dr,0,2.5,25,306.0,500,0.0
dr,0,2.5,26,174.0,500,0.0
dr,0,2.5,27,101.0,500,0.0
dr,0,2.5,28,330.0,500,0.0
dr,0,2.5,29,391.0,500,0.0
c,0,0.5,0,932.0,500,0.0
c,0,0.5,1,942.0,500,0.0
c,0,0.5,2,938.0,500,0.0
c,0,0.5,3,933.0,500,0.0
c,0,0.5,4,944.0,500,0.0
c,0,0.5,5,943.0,500,0.0
c,0,0.5,6,943.0,500,0.0
c,0,0.5,7,0.0,500,0.0
c,0,0.5,8,0.0,500,0.0
c,0,0.5,9,868.0,500,0.0
c,0,0.5,10,0.0,500,0.0
c,0,0.5,11,994.0,500,0.0
c,0,0.5,12,934.0,500,0.0
c,0,0.5,13,0.0,500,0.0
c,0,0.5,14,0.0,500,0.0
c,0,0.5,15,0.0,500,0.0
c,0,0.5,16,0.0,500,0.0
c,0,0.5,17,0.0,500,0.0
c,0,0.5,18,0.0,500,0.0
c,0,0.5,19,0.0,500,0.0
c,0,0.5,20,0.0,500,0.0
c,0,0.5,21,0.0,500,0.0
c,0,0.5,22,939.0,500,0.0
c,0,0.5,23,0.0,500,0.0
