model,seed,param,episode,return,length,success
c,2,1.0,6,810.0,500,0.0
c,2,1.0,7,944.0,500,0.0
c,2,1.0,8,895.0,500,0.0
c,2,1.0,9,849.0,500,0.0
c,2,1.0,10,944.0,500,0.0
c,2,1.0,11,981.0,500,0.0
c,2,1.0,12,773.0,500,0.0
c,2,1.0,13,1000.0,500,0.0
c,2,1.0,14,811.0,500,0.0
c,2,1.0,15,805.0,500,0.0
c,2,1.0,16,772.0,500,0.0
c,2,1.0,17,1000.0,500,0.0
c,2,1.0,18,770.0,500,0.0
c,2,1.0,19,738.0,500,0.0
c,2,1.0,20,1000.0,500,0.0
c,2,1.0,21,727.0,500,0.0
c,2,1.0,22,937.0,500,0.0
c,2,1.0,23,736.0,500,0.0
c,2,1.0,24,772.0,500,0.0
c,2,1.0,25,943.0,500,0.0
c,2,1.0,26,844.0,500,0.0
c,2,1.0,27,732.0,500,0.0
c,2,1.0,28,806.0,500,0.0
c,2,1.0,29,940.0,500,0.0
c,2,1.5,0,931.0,500,0.0
c,2,1.5,1,530.0,500,0.0
c,2,1.5,2,872.0,500,0.0
c,2,1.5,3,876.0,500,0.0
c,2,1.5,4,933.0,500,0.0
c,2,1.5,5,832.0,500,0.0
c,2,1.5,6,709.0,500,0.0
c,2,1.5,7,938.0,500,0.0
c,2,1.5,8,790.0,500,0.0
c,2,1.5,9,795.0,500,0.0
c,2,1.5,10,938.0,500,0.0
c,2,1.5,11,863.0,500,0.0
c,2,1.5,12,633.0,500,0.0
c,2,1.5,13,1000.0,500,0.0
c,2,1.5,14,716.0,500,0.0
c,2,1.5,15,755.0,500,0.0
c,2,1.5,16,677.0,500,0.0
c,2,1.5,17,1000.0,500,0.0
c,2,1.5,18,676.0,500,0.0
c,2,1.5,19,605.0,500,0.0
c,2,1.5,20,1000.0,500,0.0
c,2,1.5,21,561.0,500,0.0
c,2,1.5,22,932.0,500,0.0
c,2,1.5,23,600.0,500,0.0
c,2,1.5,24,637.0,500,0.0
c,2,1.5,25,875.0,500,0.0
c,2,1.5,26,754.0,500,0.0
c,2,1.5,27,633.0,500,0.0
c,2,1.5,28,755.0,500,0.0
c,2,1.5,29,830.0,500,0.0
c,2,2.0,0,848.0,500,0.0
c,2,2.0,1,402.0,500,0.0
c,2,2.0,2,873.0,500,0.0
c,2,2.0,3,844.0,500,0.0
c,2,2.0,4,850.0,500,0.0
c,2,2.0,5,831.0,500,0.0
c,2,2.0,6,602.0,500,0.0
c,2,2.0,7,809.0,500,0.0
c,2,2.0,8,783.0,500,0.0
c,2,2.0,9,741.0,500,0.0
c,2,2.0,10,811.0,500,0.0
c,2,2.0,11,868.0,500,0.0
c,2,2.0,12,544.0,500,0.0
c,2,2.0,13,1000.0,500,0.0
c,2,2.0,14,620.0,500,0.0
c,2,2.0,15,656.0,500,0.0
c,2,2.0,16,536.0,500,0.0
c,2,2.0,17,1000.0,500,0.0
c,2,2.0,18,581.0,500,0.0
c,2,2.0,19,472.0,500,0.0
c,2,2.0,20,1000.0,500,0.0
c,2,2.0,21,428.0,500,0.0
c,2,2.0,22,772.0,500,0.0
c,2,2.0,23,457.0,500,0.0
c,2,2.0,24,545.0,500,0.0
c,2,2.0,25,937.0,500,0.0
c,2,2.0,26,650.0,500,0.0
c,2,2.0,27,509.0,500,0.0
c,2,2.0,28,654.0,500,0.0
c,2,2.0,29,762.0,500,0.0
c,2,2.5,0,578.0,500,0.0
c,2,2.5,1,153.0,500,0.0
c,2,2.5,2,587.0,500,0.0
c,2,2.5,3,577.0,500,0.0
c,2,2.5,4,581.0,500,0.0
c,2,2.5,5,491.0,500,0.0
c,2,2.5,6,351.0,500,0.0
c,2,2.5,7,529.0,500,0.0
c,2,2.5,8,487.0,500,0.0
c,2,2.5,9,475.0,500,0.0
c,2,2.5,10,531.0,500,0.0
c,2,2.5,11,582.0,500,0.0
c,2,2.5,12,257.0,500,0.0
c,2,2.5,13,563.0,500,0.0
c,2,2.5,14,354.0,500,0.0
c,2,2.5,15,370.0,500,0.0
c,2,2.5,16,307.0,500,0.0
c,2,2.5,17,704.0,500,0.0
c,2,2.5,18,297.0,500,0.0
c,2,2.5,19,247.0,500,0.0
c,2,2.5,20,698.0,500,0.0
c,2,2.5,21,224.0,500,0.0
c,2,2.5,22,580.0,500,0.0
c,2,2.5,23,249.0,500,0.0
c,2,2.5,24,266.0,500,0.0
c,2,2.5,25,644.0,500,0.0
c,2,2.5,26,390.0,500,0.0
c,2,2.5,27,250.0,500,0.0
c,2,2.5,28,392.0,500,0.0
c,2,2.5,29,495.0,500,0.0
o,2,0.5,0,937.0,500,0.0
o,2,0.5,1,833.0,500,0.0
o,2,0.5,2,981.0,500,0.0
o,2,0.5,3,937.0,500,0.0
o,2,0.5,4,939.0,500,0.0
o,2,0.5,5,949.0,500,0.0
o,2,0.5,6,908.0,500,0.0
o,2,0.5,7,946.0,500,0.0
o,2,0.5,8,947.0,500,0.0
o,2,0.5,9,936.0,500,0.0
o,2,0.5,10,946.0,500,0.0
o,2,0.5,11,994.0,500,0.0
o,2,0.5,12,869.0,500,0.0
o,2,0.5,13,1000.0,500,0.0
o,2,0.5,14,905.0,500,0.0
o,2,0.5,15,907.0,500,0.0
o,2,0.5,16,863.0,500,0.0
o,2,0.5,17,1000.0,500,0.0
o,2,0.5,18,887.0,500,0.0
o,2,0.5,19,868.0,500,0.0
o,2,0.5,20,1000.0,500,0.0
o,2,0.5,21,865.0,500,0.0
o,2,0.5,22,939.0,500,0.0
o,2,0.5,23,870.0,500,0.0
o,2,0.5,24,871.0,500,0.0
o,2,0.5,25,942.0,500,0.0
o,2,0.5,26,908.0,500,0.0
o,2,0.5,27,870.0,500,0.0
o,2,0.5,28,908.0,500,0.0
o,2,0.5,29,949.0,500,0.0
